firm_name,n_offres,sector_main,avg_req_exp,avg_wage,addr_dept_main,top_skill_req
Twenty One Talents,2,"Communication, Industrie high-tech",7,56500,75,"Collaboration, équipe"
Maser Engineering,2,Services aux Entreprises,1,32500,31,
Consept Ingenierie,1,"ESN, Secteur informatique",7,32500,35,
Endrix,1,"Assurance, Banque",,,69,"Collaboration, Communication"
Esprit RH,1,Services aux Entreprises,1,,31,"Anglais, équipe"
Mydral,5,"ESN, Secteur informatique",7,54875,75,"équipe, Excel"
Galec - Mouvement E.Leclerc,34,"Commerce de gros, Distribution",4.70588235294118,,94,"équipe, SQL"
Repro-IT,2,"Commerce de gros, Distribution",7,314666.67,59,"Collaboration, équipe"
Consort Group,2,"ESN, Secteur informatique",1,,33,"Communication, équipe"
EDF,5,"Environnement, Secteur Energie",0,,92,"équipe, Collaboration"
CHR Numérique,1,"ESN, Secteur informatique",1,,29,équipe
ASI,4,"ESN, Secteur informatique",7,,69,"équipe, Git"
Brainpower,1,"ESN, Secteur informatique",,,38,"Autonome, Autonôme"
Adequation,1,"Immobilier, Services aux Entreprises",7,,,"équipe, Git"
We IT,1,"Communication, ESN",1,46000,,"Français, French"
Abil Ressources,1,"ESN, Secteur informatique",1,50000,94,Deep Learning
NAVA ENGINEERING,1,"Aérospatial, ESN",7,48000,31,"équipe, Hadoop"
Adod,1,"ESN, Secteur informatique",7,,69,"AWS, Azure"
Mondial Relay,1,"Logistique, Transport",7,,59,"AWS, Tableau"
Jobmania,1,"Communication, Internet",1,12000,75,"Curiosité, équipe"
EXAKIS NELITE,1,"ESN, Secteur informatique",1,,31,"Azure, Curiosité"
Walters People,1,"Commerce de gros, Distribution",1,37500,95,"Collaboration, équipe"
In Extenso,2,"ESN, Secteur informatique",0.5,,75,"AWS, Azure"
52 Entertainment,7,,3,,,"A/B Testing, Communication"
evs professionnel,15,,3,,69,"Bases de donnée, Collaboration"
Evaneos,13,,3,,,"Autonome, Autonôme"
Datascientest,17,,1.5,36833.3333333333,75,"Python, Anglais"
Wanteeed,7,,4,50000,,"Autonome, Autonôme"
KAROS MOBILITY,7,,3,50000,,"Collaboration, Communication"
Contexte,7,,5,,,"Collaboration, équipe"
Agorastore,7,,,,,"Anglais, AWS"
Hove,7,,,,,"Anglais, équipe"
Cenova,9,,2,,59,"Anglais, Azure"
skiils,17,,3,67325,75,"équipe, Python"
Visian,9,,4,193450,75,"Anglais, Python"
LivingPackets,21,,3,41666.6666666667,,"Autonome, Autonôme"
Million Victories,7,,,,,"A/B Testing, Autonomous"
Wivoo,16,,,,,"Anglais, Communication"
Coface,7,,,,,"Attention to Detail, Communication"
Hipto,7,,,,,"AWS, Curiosité"
WizVille,7,,2,50000,,"Bases de donnée, Collaboration"
BSPORT SOLUTION,7,,,,,"AWS, Database"
The Product Crew,8,,,52500,75,Français
Tata Consultancy Services,7,,4,,,"Adaptability, Git"
Warner Music France,7,,,,,"Anglais, Collaboration"
Ergoss Logiciels,7,,,,,"Autonome, Autonôme"
Fairly Made,1,,3,,,"Autonome, Autonôme"
APHP DSI,13,,2,,,"Deep Learning, Anglais"
MP DATA,38,,2.5,43605.9264705882,92,"Deep Learning, Git"
Consortia,7,,,,,"Communication, équipe"
RADèS,7,,3,47500,,"Anglais, Curiosité"
Saegus,7,,4,54000,,"Anglais, Azure"
Cyllene,28,,4,48750,,"AWS, Azure"
Innovela,26,,2,61250,,"Autonome, Autonôme"
Klint Consulting,7,,5,65000,,"équipe, Reporting"
Health Data Hub,7,,,,,"Deep Learning, Azure"
Direction interministérielle du numérique (DINUM) – Service du Premier ministre,8,,,,35,"équipe, Python"
OSE Engineering,7,,,,,"Autonome, Autonôme"
Artelys,7,,3,,,"Deep Learning, Autonome"
Kanbios,12,,3.5,,,"Anglais, équipe"
Digiwide,1,,,,33,"Anglais, Collaboration"
Sightengine,1,,,,,"Python, PyTorch"
LNE,1,,,,75,"Anglais, Autonome"
MSD,2,,,,75,"Collaboration, Créativité"
SURICATE IT,1,,,215350,75,Deep Learning
Johnson & Johnson,1,,,,92,Deep Learning
Shift Technology,2,,,,75,"English, French"
Capital Management Fund,2,,,,75,"Collaboration, Deep Learning"
Licorne Society,2,,,,75,"AWS, Azure"
PUR,1,,,,75,Deep Learning
profil,9,,,26318.385,75,"équipe, Excel"
Systemathics,2,,,,75,"data collection, Data Visualization"
Boston Consulting Group,2,,,,75,"Collaboration, Curious"
Rakuten,1,,,,75,Deep Learning
Philips,1,,,,75,"Anglais, équipe"
Coperneec,2,,,,75,"Deep Learning, équipe"
SCOR,2,,,,75,"Deep Learning, Natural Language Processing"
AccorCorpo,1,,,,92,"Anglais, Apprentissage profond"
D3S,1,,,65000,38,Deep Learning
Dassault Systèmes,12,,,,78,"équipe, Anglais"
AVISIA,2,,,,75,"AWS, Azure"
Ivalua,1,,,,91,Deep Learning
Hager Group,1,,,,33,"Anglais, Python"
Française des Jeux,1,,,,92,"Curiosité, équipe"
Roche,1,,,,75,"Anglais, Autonome"
Malakoff Humanis,4,,,,75,"équipe, Python"
Apple,1,,,,75,Deep Learning
POLARYS,2,,,,92,"Deep Learning, English"
Ipsen Pharma (SAS),1,,,,92,"Data Visualization, Natural Language Processing"
ACSSI,1,,,,75,"Anglais, Data Visualization"
Margo Conseil,1,,,,75,Deep Learning
AFTERDATA,1,,,2406,75,"Créativité, équipe"
Ornikar,1,,,,75,"Communication, équipe"
Banque de France,5,,,,75,"équipe, Statistique"
SymphonyAI,1,,,,75,Deep Learning
Franfinance,1,,,,92,"Bases de donnée, Français"
HP,1,,,,38,"English, Excel"
Streem Energy,1,,,,75,Deep Learning
Fretbay,1,,,,75,"Autonome, Autonôme"
PROSOL,1,,,,69,"Apprentissage profond, Autonome"
Aquila Data Enabler,3,,,,92,"Deep Learning, équipe"
MBR Partners,1,,,,75,"Communication, Communication Skills"
Sully Group,1,,,,38,"équipe, Intelligence artificielle"
Kicklox,14,,,148312.5,78,"Français, équipe"
XPDEEP,1,,,,38,Deep Learning
Synopsia,1,,,50000,75,"Anglais, Azure"
ICM Institut du Cerveau,1,,,40000,75,"Collaboration, Communication"
Sparteo,1,,,,59,"Artificial intelligence, Autonomous"
Airbus,8,,,,13,"Git, Python"
RD2 CONSEIL,2,,,,69,"Anglais, Collaboration"
EASY CASH,1,,,,,"Curiosité, équipe"
Aixial,1,,,,92,"Artificial intelligence, data collection"
Schneider Electric,5,,,,6,"Communication, Excel"
Holcim,2,,,,38,"Data Visualization, Programming"
Blue-Consulting,2,,,190712.5,75,"Deep Learning, Python"
Département de Saône-et-Loire,2,,,,,"Bases de donnée, Collaboration"
Balenciaga,1,,,,75,"Curious, Data Visualization"
Salomon,2,,,,74,"Anglais, Autonome"
TotalEnergies,6,,,,92,"Anglais, équipe"
DialOnce,1,,,,75,Deep Learning
SIACI SAINT HONORE,2,,,,75,"Bases de donnée, équipe"
CEB,1,,,3138,75,"Adaptabilité, Anglais"
AIA Bordeaux,1,,,,33,"Autonome, Autonôme"
Vaisala,1,,,,75,"Autonomous, Database"
Novencia,4,,,,75,"Git, Intelligence artificielle"
1G-LINK CONSULTING,2,,,48750,75,"équipe, Python"
Novo Nordisk,1,,,,28,"Anglais, Base de donnée"
NANTES UNIVERSITE,1,,,2016,44,"Anglais, équipe"
Nestle Operational Services Worldwide SA,3,,,,75,"équipe, Power BI"
Docaret,1,,,44000,33,"Bases de donnée, Collaboration"
CNRS,2,,,5182.08,38,"Anglais, Communication"
Opéra Conseil,1,,,,69,Deep Learning
WeSmart,1,,,55000,75,"Anglais, Azure"
Geniem,2,,,173375,59,"Deep Learning, Python"
CNES - Centre National d'Etudes Spatiales,2,,,,91,"Collaboration, Database"
Wekey,1,,,219000,79,"Autonome, Autonôme"
OCDE,2,,,2164.92,75,"Anglais, Collaboration"
Kaïbee,1,,,164250,75,"Anglais, Autonome"
Meta,2,,,,75,"Deep Learning, Git"
Visuary,1,,,,75,"Autonomous, Proactive"
Langton Howarth,1,,,,75,"Autonomous, Communication"
EMERTON GROUP,3,,,,75,"AWS, Azure"
Thales,6,,,,92,"Communication, équipe"
Lity,1,,,90000,75,"équipe, Intelligence artificielle"
CHRU de Brest,1,,,,29,Deep Learning
SATT Sud Est,1,,,35500,13,Deep Learning
Science me Up,1,,,,,"Anglais, Communication"
Institut du cerveau,2,,,,75,"Communication, Programming"
Stellantis,8,,,,78,"Git, équipe"
Hôpital National des Quinze-Vingts,3,,,,75,"Rapport, Collaboration"
Siège de l'AP-HP,1,,,,75,"Anglais, Base de donnée"
ELAP,1,,,,75,"Autonome, Autonôme"
DIAMIDEX,1,,,40000,,Deep Learning
autobiz,1,,,,92,"Anglais, Base de donnée"
Opteamis,1,,,,75,"Base de donnée, Bases de donnée"
AZAP,2,,,,75,"Anglais, équipe"
PARIS-SACLAY CENTER FOR DATA SCIENCE,1,,,,91,"Collaboration, Programming"
CHD Vendée - DRH,1,,,,85,Deep Learning
KROISSANCE,1,,,40000,31,"Azure, Communication"
SYSTNAPS,1,,,,94,"Anglais, Base de donnée"
QUANTILIA,1,,,,6,"Collaboration, Database"
Veepee,1,,,,75,"AWS, Dataviz"
Aboro,1,,,,,"Base de donnée, Communication"
Caisse des Dépôts,8,,,,75,"équipe, Power BI"
Stalaven,1,,,,22,"équipe, Prévision"
E.Leclerc,1,,,,40,"Autonome, Autonôme"
Auchan Retail France,2,,,,59,"équipe, Git"
Enedis,1,,,,69,"Dataviz, équipe"
CEA,1,,,,91,Deep Learning
GEMY Automobiles,2,,,,,"équipe, Python"
Renault Group,7,,,,78,"Anglais, Python"
Eramet,1,,,,78,"Anglais, Azure"
Keolis Tours,1,,,,37,"Collaboration, Curiosité"
McKinsey & Company,2,,,,75,"Deep Learning, Communication"
SERMA Technologies,1,,,,33,"Collaboration, Curiosité"
Chela+,1,,,,94,"Anglais, Base de donnée"
Sephora,2,,,,45,"Collaboration, Créativité"
FABDEV,1,,,,75,"AWS, Git"
Centre Hospitalier Départemental de Vendée,2,,,,85,"Deep Learning, Autonome"
Datadog,3,,,,75,"Collaboration, Creativity"
Abeille assurances,2,,,,92,"Deep Learning, équipe"
Eyetech Solutions,1,,,52500,75,"AWS, Azure"
People Way,1,,,,75,"Anglais, Bases de donnée"
WHEEL OF WORK,1,,,187975,59,"Bases de donnée, Collaboration"
Foodles,1,,,,92,"Collaboration, Communication"
XL Catlin,1,,,,75,"Collaboration, Communication"
Council of Europe Development Bank,1,,,,75,"Attention to Detail, data collection"
SILAMIR,1,,,,75,"équipe, Rigueur"
Egis,1,,,,69,"Anglais, Bases de donnée"
Continental,2,,,,31,"Communication, Communication Skills"
Harmonie Mutuelle,1,,,,35,"Autonome, Autonôme"
MBDA France,1,,,,18,"Anglais, équipe"
CHARLI GROUP,1,,,,92,"Anglais, Autonome"
PERSÉ BEAUTY,1,,,,75,"Anglais, Autonome"
Natixis SA,2,,,,75,"Collaboration, Deep Learning"
Metyis,1,,,,75,"Communication, Communication Skills"
Kaino,3,,,65000,75,"AWS, Collaboration"
Cleeven Se,1,,,32500,6,"Anglais, équipe"
Avient,1,,,,1,"AWS, Collaboration"
Saint Gobain,4,,,34500,59,"équipe, SQL"
Viatris,1,,,,69,"Anglais, équipe"
Zoī,1,,,,75,"AWS, Communication"
TF1,1,,,,75,"Communication, Dataviz"
Bayer,1,,,,69,"Anglais, Bases de donnée"
INFOPRO DIGITAL,1,,,,92,"Autonome, Autonôme"
MAIF,2,,,,79,"équipe, SQL"
Boursorama,2,,,,92,"équipe, Python"
Société Générale,7,,,,92,"équipe, Excel"
Doctolib,2,,,,75,"Collaboration, Deep Learning"
QIMA,1,,,,,"Anglais, Communication"
Arcom,1,,,,75,"Anglais, Collaboration"
Civils de la Défense,1,,,,75,"Apprentissage profond, Communication"
ARKEON ENERGY,1,,,,14,"Communication, équipe"
TOUTON SA,1,,,,33,"Anglais, Bases de donnée"
Eureden,1,,,,29,"Autonome, Autonôme"
Edhec Business School,1,,,,59,"Anglais, Communication"
EFFi GEMY,2,,,,,"équipe, Python"
Betclic Group,4,,,,33,"Communication, SQL"
Quantum Surgical,2,,,,34,"Deep Learning, Communication"
Colas,1,,,,54,"Git, Power BI"
Nova Consulting,1,,,,75,"Base de donnée, Bases de donnée"
Klarys,1,,,,35,Deep Learning
MONABANQ,1,,,10056,59,"Excel, SQL"
Free2move,1,,,,75,"Autonome, Autonôme"
Algoscope,1,,,1206,,"équipe, Intelligence artificielle"
Lefebvre Sarrut,1,,,,92,"équipe, Excel"
Socomec,1,,,,67,"Anglais, C++"
Soyhuce,2,,,,75,"Deep Learning, équipe"
Sim&Cure,1,,,,34,Deep Learning
Talenteeds,1,,,,75,"Artificial intelligence, Communication"
Euro Information,2,,,42250,59,"Anglais, Autonome"
Excelcio,1,,,,75,"Data Visualization, équipe"
Elis,1,,,,92,"Anglais, Communication"
R&S TELECOM,1,,,,75,"Bases de donnée, Collaboration"
BAXTER,1,,,,78,"Anglais, Communication"
ENDRESS & HAUSER France,1,,,,68,"équipe, Français"
INEX BET,1,,,4804,93,"Anglais, Base de donnée"
VINCI Construction,6,,,,92,"équipe, Collaboration"
INRAE,1,,,464.5,44,"Base de donnée, équipe"
Ceva Logistics,2,,,,13,"Communication, Creativity"
Sorare,1,,,,75,"Communication, Communication Skills"
Alteia,1,,,,,Deep Learning
AIZEN RECRUITMENT,1,,,,75,"Anglais, Bases de donnée"
Rhodium Group,1,,,,75,"Collaboration, Data Visualization"
Spare Parts 3D,1,,,,75,"Data Visualization, Database"
SAS AKERWISE,1,,,158775,75,"Azure, Collaboration"
Procter & Gamble,1,,,,75,"Autonomous, Big Data Technologies"
Ghu Paris Psychiatrie et Neurosciences,1,,,,75,"Anglais, Bases de donnée"
Metrixx,1,,,,69,"Git, Optimisation"
CNAV,1,,,40500,75,"Bases de donnée, Excel"
wefox,1,,,,75,"Collaboration, Database"
ACT-ON DATA,1,,,,92,"Anglais, AWS"
Dataiku,1,,,,75,"Autonomous, AWS"
L'Organisation mondiale de la santé animale (OIE),1,,,,75,"Collaboration, data collection"
informatis-ts,3,,,,10,"Base de donnée, SQL"
Arkema,1,,,,92,"équipe, Excel"
PRO BTP GROUPE,1,,,45000,94,"Collaboration, Communication"
datafab.io,1,,,,94,Deep Learning
Recrulab,1,,,50000,69,"Autonome, Autonôme"
Danem People France,2,,,82500,75,"équipe, Français"
Sogeti,1,,,,31,"Azure, Bases de donnée"
Softeam,1,,,,75,"Anglais, Communication"
AptarGroup,1,,,,27,"Autonome, Autonôme"
Nexteam Group,1,,,,64,"Autonome, Autonôme"
Vetoquinol,1,,,,70,"Anglais, équipe"
Cegid,1,,,47000,69,"Anglais, Collaboration"
Himydata,2,,,440.76,59,"Collaboration, équipe"
Filhet-Allard,1,,,,,"équipe, Optimisation"
papernest,46,,,,75,"English, Français"
TEAM IS,1,,,67500,75,"Collaboration, équipe"
OKAIDI,1,,,44000,59,"A/B Testing, Curiosité"
L'Opcommerce,1,,,196000,75,"Autonome, Autonôme"
Rte international,1,,,,92,"Artificial intelligence, Collaboration"
Smarteo,1,,,,,"Collaboration, Communication"
BforBank,1,,,,92,"Autonome, Autonôme"
GESER BEST,1,,,33000,33,"Anglais, Bases de donnée"
Invivoo,1,,,55000,75,"Dataviz, équipe"
Pictarine,1,,,,,"Anglais, collecte de données"
Valoway,1,,,52500,44,"AWS, Azure"
ADEO Services,1,,,,59,"Anglais, C++"
Flyinstinct,1,,,,75,"Anglais, équipe"
Sercel,1,,,,44,"équipe, Excel"
OGF,1,,,,75,"Azure, Base de donnée"
CCPA GROUP,1,,,,,"collecte de données, Créativité"
Pacific Pêche,1,,,,34,"Bases de donnée, équipe"
Wizaly,1,,,,75,"Bases de donnée, équipe"
AEROW,1,,,,75,"Anglais, Power BI"
Marcel ROBBEZ MASSON,1,,,160000,34,"Anglais, Base de donnée"
Sense4data,1,,,,33,"Anglais, Communication"
RECRUTONS ENSEMBLE,1,,,,13,"Autonome, Autonôme"
Aosis,1,,,50000,92,"C++, équipe"
Teads,1,,,,34,"Artificial intelligence, Autonomous"
Argon & Co,1,,,3906,92,Deep Learning
FINDWAYS,1,,,3006,92,"Base de donnée, collecte de données"
HIPPY SAS - INDIENOV,1,,,,13,"Anglais, Collaboration"
BPGrandOuest,1,,,,44,"Bases de donnée, Curiosité"
KNOW YOUR PEOPLE,1,,,42500,59,"Autonome, Autonôme"
RECONOMIA,1,,,,59,"Autonome, Autonôme"
ITW,1,,,,26,"Anglais, Bases de donnée"
Université de Montpellier,2,,,2985,34,"équipe, Français"
Hitachi Solutions Ltd,1,,,,75,"Azure, Collaboration"
CHAPS VISION,2,,,,75,"Anglais, Communication"
Mazars,1,,,,75,"Autonome, Autonôme"
NEO SOFT,1,,,,75,"Bases de donnée, équipe"
Paie & Rh Solutions,1,,,,64,"équipe, Reporting"
BEEZEN,2,,,168812.5,92,SQL
VALTAO,1,,,,95,"Collaboration, English"
FREELANCEREPUBLIK,2,,,,59,"Anglais, équipe"
Safilo,1,,,,92,"Anglais, Collaboration"
COFIDIS,2,,,37500,59,"Autonome, Autonôme"
Kumo,1,,,9000,92,"Base de donnée, équipe"
Aneo,1,,,1806,92,"Autonome, Autonôme"
Dalkia,1,,,,49,"équipe, Excel"
Louvre Hôtels,1,,,,92,"Anglais, équipe"
LALLEMAND,1,,,410.03,15,"Communication, équipe"
IN'LI,1,,,,92,"équipe, Power BI"
MGEN,1,,,,75,"Bases de donnée, Collaboration"
SIPLEC,1,,,,94,"équipe, Excel"
Verisure,1,,,,92,"Anglais, Azure"
ACCELITE,1,,,47500,75,"Anglais, Hadoop"
DigiDiz - Staff & Go,1,,,,68,"Autonome, Autonôme"
BD,1,,,,38,"Anglais, Base de donnée"
Data Recrutement,46,,,45000,75,"équipe, Python"
delaware,2,,,,59,"Anglais, équipe"
Aceo Tech,1,,,,63,"Anglais, équipe"
Espace Freelance,1,,,,59,"équipe, Python"
VO2 GROUP,1,,,246375,75,"Anglais, Communication"
Valeuriad,1,,,,44,"équipe, Git"
NEXORIS,1,,,191625,75,"Anglais, Communication"
FRISBEE PROFILING,1,,,155125,92,"équipe, modélisation"
Insitoo,4,,,,59,"équipe, Anglais"
Gan Assurances,1,,,,92,"Collaboration, Créativité"
LinkedIn Job Wrapping,1,,,,75,"AWS, Azure"
IBM,1,,,,92,"Anglais, Collaboration"
OCTO Technology,1,,,,75,Deep Learning
Universcience,1,,,45500,75,"Base de donnée, Bases de donnée"
SYNERGIE,1,,,,59,"Collaboration, Curiosité"
1Dsolutions,2,,,36400,75,équipe
Qare,1,,,,75,"Collaboration, équipe"
Enterprise Digital Resources Ltd,1,,,,59,"Anglais, Collaboration"
FinancePeople,1,,,50000,78,"équipe, Excel"
Artemys Agil-IT (groupe Artemys),1,,,32500,79,"équipe, Excel"
CLAMAE GROUP,1,,,,75,"Base de donnée, équipe"
Shortways,1,,,,53,"Anglais, Autonome"
UTWIN,1,,,,69,"Autonome, Autonôme"
Equancy,1,,,,75,Deep Learning
LeHibou,1,,,200750,92,"Anglais, équipe"
WAISSO,1,,,,75,"Anglais, Dataviz"
Nature et découvertes,1,,,,78,"Collaboration, équipe"
Suntory Beverage & Food France,1,,,65000,92,"Anglais, AWS"
Latecoere,1,,,,31,"équipe, Excel"
ARMOR MECA DEVELOPPEMENT,1,,,35000,22,"équipe, Excel"
Elsys Design,1,,,,35,"Base de donnée, Collaboration"
Terrena,1,,,,,"Bases de donnée, équipe"
Artelia,1,,,,38,"Anglais, Bases de donnée"
DataKhi,1,,,45000,59,"équipe, Power BI"
Ayming,1,,,,92,"Créativité, Excel"
KLESIA,1,,,,75,"Autonome, Autonôme"
AXSANT,1,,,55000,75,"Anglais, équipe"
Actinvision,2,,,43250,67,"Anglais, Autonome"
GIP PULSY,1,,,37500,67,"Base de donnée, Bases de donnée"
Comptalents,1,,,37500,95,"Anglais, Base de donnée"
Bolloré Group,1,,,,92,"Base de donnée, Excel"
InPost,1,,,,59,"Anglais, Base de donnée"
Fédération Française de Rugby,1,,,218,91,"Bases de donnée, équipe"
AG SOLUTION,1,,,,59,"Communication, Communication Skills"
CEREG TERRITOIRES,1,,,29000,44,"Base de donnée, équipe"
CPAM de la Marne,1,,,28000,51,"Bases de donnée, équipe"
Akkion Recruitment,1,,,,60,"Autonome, Autonôme"
iAdvize,1,,,,44,"Anglais, Autonome"
GENERATION,1,,,,29,"équipe, Excel"
Vente 2 Site,1,,,,94,"Autonome, Autonôme"
COLLINS AEROSPACE,1,,,,27,"Anglais, Collaboration"
DECIDEOM,1,,,45000,59,"AWS, Azure"
Nexton Consulting FR,1,,,,59,"équipe, Git"
Mon-marché.fr,1,,,,69,"Autonome, Autonôme"
Quadra Informatique,1,,,,67,"Communication, équipe"
Cherche Susan Désespérément,1,,,,75,"Autonome, Autonôme"
GRESB,1,,,,75,"Collaboration, Database"
Lincoln,1,,,,69,Deep Learning
Anywr freelance,1,,,,59,"Communication, Reporting"
Avanade,1,,,,75,Deep Learning
ONEY,1,,,,59,"équipe, Git"
Fondation pour la Recherche Médicale,1,,,,86,"Azure, Base de donnée"
ADONE CONSEIL,1,,,70000,75,"équipe, Git"
DECILIA,1,,,41500,92,"Collaboration, équipe"
Cognizant,1,,,,75,Power BI
GERFLOR,1,,,,69,"Anglais, Base de donnée"
IKIGAÏ,1,,,36500,69,"équipe, Power BI"
European Camping Group,1,,,30000,34,"Anglais, Communication"
Niji,1,,,,69,"Anglais, Communication"
CHRONOPOST,1,,,,75,"Collaboration, Excel"
Clémentine,1,,,,75,"Anglais, Bases de donnée"
Ekino France,1,,,,93,"Anglais, AWS"
Adway Conseil,1,,,,92,"Anglais, équipe"
Edvance,1,,,,92,"Anglais, Base de donnée"
Lydia Solutions,44,,,,75,"Communication, Communication Skills"
Adalid,44,,,,59,"Reporting, Statistique"
LSA COURTAGE,44,,,,92,"Autonome, Autonôme"
MFG Labs,44,,,,77,"Anglais, AWS"
Liberty Rider,44,,,,31,"Autonome, Autonôme"
Shippeo,44,,,,75,"Attention to Detail, Collaboration"
Tech Riders,44,,,,75,"Anglais, Autonome"
ORTEC ENGINEERING,44,,,,31,équipe
X-FAB,44,,,,91,"Collaboration, Communication"
Sodexo,44,,,,92,"Autonomous, Communication"
